Temp,Press
314,100042
314,100042
314,100039
314,100042
314,100056
314,100049
314,100049
314,100052
314,100050
314,100049
314,100046
314,100053
314,100050
314,100051
314,100047
314,100045
314,100054
314,100041
314,100048
314,100042
314,100045
314,100045
314,100048
314,100048
314,100051
314,100045
314,100045
314,100048
314,100048
314,100045
314,100048
314,100047
314,100045
314,100053
314,100047
314,100053
314,100047
314,100054
314,100047
314,100054
314,100057
314,100047
314,100054
314,100054
314,100051
314,100045
314,100051
314,100048
314,100051
314,100048
314,100051
314,100048
314,100051
314,100048
315,100052
314,100048
315,100049
314,100048
314,100045
315,100052
315,100052
315,100049
315,100052
315,100049
315,100043
315,100046
315,100053
315,100051
315,100047
315,100054
315,100054
315,100051
315,100054
315,100048
315,100051
315,100051
315,100054
315,100051
315,100048
315,100055
315,100049
315,100049
315,100051
315,100048
315,100046
315,100058
315,100055
315,100043
315,100053
315,100048
315,100053
315,100053
315,100051
315,100048
315,100047
315,100057
315,100051
315,100053
315,100051
315,100045
315,100048
315,100047
315,100051
315,100054
315,100051
315,100058
315,100045
315,100048
315,100052
315,100045
315,100046
316,100056
316,100053
316,100050
315,100049
316,100053
316,100050
315,100046
315,100048
316,100050
316,100047
316,100047
316,100047
316,100048
316,100051
316,100051
316,100053
316,100050
316,100048
316,100054
316,100048
316,100042
316,100051
316,100052
316,100052
316,100052
316,100052
316,100046
316,100043
316,100052
316,100057
316,100057
316,100047
316,100053
316,100054
316,100056
316,100048
316,100054
316,100047
316,100047
316,100048
316,100051
316,100048
316,100048
316,100048
316,100054
316,100047
316,100048
316,100048
316,100051
316,100048
316,100051
316,100051
316,100048
316,100048
316,100045
316,100049
316,100049
316,100045
316,100051
316,100048
317,100053
316,100049
316,100046
316,100046
317,100047
317,100047
317,100047
317,100047
317,100057
317,100047
317,100057
317,100054
317,100047
317,100056
317,100048
317,100051
317,100051
317,100048
317,100057
317,100057
317,100048
317,100051
317,100051
317,100051
317,100045
317,100045
317,100045
317,100052
