Time,AccelX,AccelY,AccelZ
4.725,-38.935,7.577,7.695
4.75,-37.209,7.59,6.248
4.775,-36.914,7.737,9.403
4.8,-34.937,8.47,9.685
4.825,-34.409,8.185,9.408
4.85,-33.141,11.003,6.881
4.875,-33.227,8.607,8.633
4.9,-33.054,8.209,10.521
4.925,-31.497,7.024,10.118
4.95,-30.541,6.322,9.37
4.975,-30.569,7.82,11.458
5,-28.42,6.444,11.007
5.025,-28.035,8.303,9.319
5.05,-27.273,7.474,9.789
5.075,-25.975,7.908,9.803
5.1,-28.118,7.543,8.585
5.125,-28.75,7.289,8.553
5.15,-26.84,8.526,9.244
5.175,-23.044,9.65,9.79
5.2,-21.208,10.094,10.756
5.225,-20.592,8.126,12.197
5.25,-19.566,8.385,8.736
5.275,-19.21,7.926,8.594
5.3,-19.539,8.33,12.043
5.325,-19.112,8.687,11.44
5.35,-18.341,9.572,11.319
5.375,-16.498,11.169,8.975
5.4,-16.054,9.883,7.278
5.425,-17.152,6.959,10.496
5.45,-15.843,6.403,9.837
5.475,-15.287,8.72,11.033
5.5,-13.346,9.164,9.832
5.525,-13.388,10.872,9.984
5.55,-13.334,9.562,9.932
5.575,-12.405,11.067,11.429
5.6,-12.411,9.043,11.766
5.625,-10.378,7.693,10.569
5.65,-11.694,8.753,11.201
5.675,-9.861,8.683,12.041
5.7,-9.526,9.57,11.031
5.725,-8.29,9.057,10.394
5.75,-8.261,10.545,10.881
5.775,-8.291,9.437,11.691
5.8,-6.974,10.661,12.663
5.825,-7.448,12.496,13.284
5.85,-6.503,13.158,12.877
5.875,-5.257,12.159,14.689
5.9,-4.182,13.628,16.048
5.925,-3.62,14.024,16.175
5.95,-3.317,14.365,15.939
5.975,-3.311,14.946,16.688
6,-2.692,15.332,16.316
6.025,-2.09,14.905,17.42
6.05,-2.093,16.173,16.631
6.075,-1.566,16.816,15.353
6.1,-1.228,14.357,16.303
6.125,-0.291,13.271,17.444
6.15,0.564,14.231,17.784
6.175,1.097,14.491,16.725
6.2,1.551,14.867,15.028
6.225,1.024,15.207,15.976
6.25,1.176,14.225,15.461
6.275,1.091,12.546,16.922
6.3,2.122,11.853,16.907
6.325,1.936,13.36,15.97
6.35,2.237,14.198,15.585
6.375,2.892,13.476,16.925
6.4,3.63,14.784,17.901
6.425,3.771,15.917,16.34
6.45,4.294,16.666,15.753
6.475,5.863,14.937,17.189
6.5,7.279,15.09,17.675
6.525,7.051,13.577,17.67
6.55,11.384,15.67,15.91
6.575,11.982,15.322,17.564
6.6,12.438,16.356,16.598
6.625,13.596,17.349,17.239
6.65,10.945,15.054,17.667
6.675,14.752,18.123,17.183
6.7,15.064,16.561,19.265
6.725,13.631,16.521,17.278
6.75,16.456,16.712,17.634
6.775,18.497,17.222,18.66
6.8,17.117,15.885,18.171
6.825,18.837,16.655,17.866
6.85,20.608,17.456,19.084
6.875,22.742,17.169,19.156
6.9,20.994,16.851,18.526
6.925,21.249,17.276,18.963
6.95,22.946,18.473,18.737
6.975,24.951,22.149,19.009
7,24.611,19.054,18.876
7.025,-156.065,28.09,8.963
7.05,43.589,28.925,38.757
7.075,58.928,56.28,31.388
7.1,71.774,103.126,26.336
7.125,90.527,148.143,-31.034
7.15,55.724,155.749,-152.567
7.175,45.674,155.771,-153.248
7.2,35.035,155.796,-153.248
7.225,10.313,155.855,-153.248
7.25,15.512,155.843,-153.248
7.275,-2.56,155.886,-153.247
7.301,8.563,155.859,-153.247
7.325,7.863,156.004,-104.567
7.35,3.018,156.154,-57.261
7.375,63.31,156.008,-57.697
7.4,12.853,156.286,-4.016
7.425,110.702,128.113,4.269
7.45,12.856,14.926,-34.77
7.475,22.047,17.261,-36.57
7.5,21.459,-0.515,-5.295
7.525,17.938,-9.468,14.041
7.55,19.335,-19.08,40.028
7.575,19.705,-12.559,67.516
7.6,18.042,17.79,96.001
7.625,21.036,74.587,103.399
7.65,18.432,139.789,62.022
7.675,16.233,154.921,37.151
7.7,6.207,156.349,51.852
7.725,7.864,151.308,-16.661
7.751,10.209,118.094,-72.854
7.775,12.851,70.052,-87.738
7.8,11.07,45.631,-75.586
7.825,12.954,25.368,-71.173
7.85,13.024,23.149,-63.279
7.875,14.853,29.929,-56.631
7.9,13.162,44.187,-46.752
7.925,11.758,65.382,-26.036
7.95,12.126,88.626,-0.743
7.975,9.897,109.772,17.705
8,9.973,133.415,24.108
8.025,7.782,143.725,-2.437
8.05,11.062,149.067,-11.125
8.075,7.892,147.751,-20.963
8.1,7.945,136.941,-22.026
8.125,10.834,137.971,-11.561
8.15,7.84,145.193,-3.352
8.175,18.3,126.746,-14.916
8.2,19.843,126.84,-0.7
8.225,11.854,109.924,-17.069
8.25,10.414,106.849,-1.74
8.275,12.412,89.385,-38.619
8.3,11.04,73.471,-64.414
8.325,9.716,83.727,-55.429
8.35,13.467,50.857,-80.922
8.375,12.508,63.142,-53.563
8.4,7.919,62.388,-37.537
8.425,10.865,61.028,-19.366
8.45,10.639,69.652,-6.736
8.475,11.775,68.477,4.359
8.5,12.838,64.592,20.33
8.525,13.192,59.192,24.39
8.55,12.031,57.193,24.07
8.575,10.733,55.395,26.383
8.6,9.28,52.993,23.973
8.625,7.075,45.613,34.686
8.65,7.934,43.444,28.359
8.675,4.698,47.778,25.378
8.7,5.637,46.656,37.785
8.726,5.208,50.682,10.009
8.75,1.937,47.003,19.716
8.775,2.869,45.918,6.521
8.8,6.035,42.53,-2.461
8.825,1.861,45.351,5.073
8.85,5.241,34.415,-10.192
8.875,7.184,31.226,-25.511
8.9,5.101,31.066,-22.538
8.925,6.266,14.392,-37.225
8.95,4.887,20.46,-30.751
8.975,3.505,19.627,-26.475
9,3.216,14.068,-31.091
9.025,3.715,17.778,-30.219
9.05,2.815,21.149,-30.136
9.075,-0.542,28.342,-19.929
9.1,-1.101,31.835,-12.721
9.125,-2.863,23.653,-12.126
9.15,4.179,28.595,-15.682
9.175,-0.817,24.032,-3.34
9.2,0.723,23.883,0.127
9.225,4.293,18.759,0.989
9.25,3.633,14.612,2.801
9.275,4.335,12.6,0.616
9.3,4.061,10.84,1.45
9.325,4.502,8.122,2.71
9.35,4.37,5.828,5.899
9.375,4.315,3.715,7.159
9.4,4.384,1.984,8.607
9.425,4.318,1.379,10.173
9.45,3.862,-2.685,11.09
9.475,2.976,-4.041,12.572
9.5,2.979,-6.635,13.056
9.525,2.749,-5.942,14.674
9.55,2.507,-8.44,15.6
9.575,1.618,-13.711,15.712
9.6,0.41,-16.625,15.444
9.625,3.795,-11.585,11.968
9.65,2.499,-9.763,15.715
9.675,0.115,-9.749,18.394
9.7,2.681,-10.892,15.147
9.725,1.641,-7.222,22.399
9.75,0.463,-8.975,12.083
9.775,0.061,-7.521,13.806
9.8,3.896,-3.013,7.778
9.825,3.381,-1.308,5.388
9.85,2.347,-1.216,6.293
9.875,2.57,0.009,5.338
9.9,2.775,0.828,4.353
9.926,2.353,1.466,3.355
9.95,2.445,1.834,2.149
9.975,2.297,2.149,1.291
10,2.258,2.259,0.561
10.025,2.307,2.233,-0.453
10.05,2.254,2.091,-1.783
10.075,2.251,2.631,-2.651
10.1,2.065,3.033,-3.71
10.125,2.015,3.343,-4.745
10.15,1.687,1.952,-5.829
10.175,1.644,1.084,-6.61
10.2,1.168,0.095,-7.28
10.225,1.108,-2.997,-7.43
10.25,-0.133,-3.098,-8.562
10.275,0.468,-7.633,-9.861
10.3,0.192,-5.016,-9.187
10.325,-0.049,-6.782,-8.468
10.35,0.142,-6.79,-8.776
10.375,0.251,-7.506,-7.852
10.4,0.164,-5.746,-9.241
10.425,0.377,-6.235,-8.09
10.45,0.357,-5.381,-8.488
10.475,0.319,-6.737,-6.961
10.5,0.676,-6.186,-6.297
10.525,0.471,-4.035,-6.165
10.55,0.845,-4.334,-4.899
10.575,0.798,-2.773,-4.676
10.6,0.931,-0.515,-3.774
10.625,1.212,-0.261,-2.951
10.65,1.081,0.332,-2.202
10.675,1.193,0.411,-1.863
10.7,1.033,0.584,-1.458
10.725,1.067,0.774,-0.967
10.75,1.097,0.894,-0.796
10.775,1.078,0.85,-0.434
10.8,1.151,1.015,0.004
10.825,1.108,1.131,0.33
10.85,1.157,1.3,0.705
10.875,1.112,1.333,1.045
10.9,1.194,1.472,1.297
10.925,1.238,1.45,1.508
10.95,1.094,1.587,1.684
10.975,1.02,1.712,2.026
11,1.06,1.885,2.327
11.025,1.109,2.062,2.548
11.05,1.204,1.48,3.19
11.075,1.085,1.855,3.202
11.1,0.947,0.323,3.985
11.125,0.734,2.105,4.503
11.15,0.894,1.082,5.164
11.175,0.78,2.205,5.308
11.2,0.639,0.138,6.155
11.225,0.804,2.093,5.286
11.25,0.608,1.876,5.815
11.275,0.608,1.577,7.013
11.3,0.748,2.029,6.011
11.325,0.532,1.856,6.311
11.35,0.434,1.298,6.408
11.375,0.678,1.355,5.964
11.4,0.484,0.795,6.184
11.425,0.941,-0.086,5.277
11.45,0.668,0.014,5.057
11.475,0.864,0.345,4.578
11.5,1.08,-0.124,4.06
11.525,0.893,-0.186,3.723
11.55,1.145,-0.316,3.523
11.575,0.883,-0.348,3.461
11.6,0.942,-0.409,2.861
11.625,1.034,-0.648,2.375
11.65,0.903,-0.516,2.581
11.675,0.957,-0.716,2.143
11.7,0.807,-0.5,2.335
11.725,0.812,-0.752,2.073
11.75,0.705,-0.705,1.967
11.775,0.832,-0.89,2.022
11.8,0.781,-0.913,1.732
11.825,0.74,-1.08,2.034
11.85,0.798,-0.869,1.731
11.875,0.583,-1.295,1.647
11.9,0.684,-1.57,1.891
11.925,0.764,-1.951,1.69
11.95,0.632,-2.003,1.326
11.975,0.737,-2.039,1.342
12,0.657,-2.214,1.587
12.025,0.516,-2.328,1.568
12.05,0.351,-2.382,1.217
12.075,0.429,-2.239,2.127
12.1,0.377,-2.496,1.23
12.125,0.501,-2.321,1.73
12.15,0.185,-2.685,1.243
12.175,0.3,-2.593,1.407
12.201,0.209,-2.532,1.458
12.225,0.288,-2.436,1.359
12.25,0.186,-2.728,1.583
12.275,0.099,-2.706,1.012
12.3,0.185,-2.653,1.822
12.325,0.105,-2.627,1.262
12.35,0.05,-2.38,1.57
12.375,0.046,-2.659,1.717
12.4,0.023,-2.483,1.462
12.425,0.061,-2.442,1.71
12.45,0.011,-2.599,1.331
12.475,0.024,-2.454,1.641
12.5,-0.105,-2.486,1.629
12.525,0.002,-2.372,1.35
12.55,0.038,-2.28,1.598
12.575,-0.039,-2.536,1.436
12.6,-0.023,-2.082,1.329
12.625,0.016,-2.341,1.748
12.65,-0.034,-2.19,2.097
12.675,0.076,-2.018,2.128
12.7,0.062,-1.959,2.246
