,Time,AccelX,AccelY,AccelZ,AccelX_G,,,,,,,,,,,,,,,,,
63860,0,-11.614,-0.508,0.217,-1.185102041,,,,,,,,,,,,,,,,,
63861,0.025,-44.943,-2.362,1.37,-4.586020408,,,,,,,,,,,,,,,,,
63862,0.05,-40.855,2.798,-0.69,-4.168877551,,,,,,,,,,,,,,,,,
63863,0.075,-49.362,0.283,-1.504,-5.036938776,,,,,,,,,,,,,,,,,
63864,0.1,-55.938,-1.664,-1.244,-5.707959184,,,,,,,,,,,,,,,,,
63865,0.125,-61.798,1.124,1.814,-6.305918367,,,,,,,,,,,,,,,,,
63866,0.15,-66.015,-2.045,1.303,-6.73622449,,,,,,,,,,,,,,,,,
63867,0.175,-66.378,1.237,0.461,-6.773265306,,,,,,,,,,,,,,,,,
63868,0.2,-68.524,1.064,2.826,-6.992244898,,,,,,,,,,,,,,,,,
63869,0.225,-73.331,-3.05,7.124,-7.482755102,,,,,,,,,,,,,,,,,
63870,0.25,-68.283,2.814,2.154,-6.967653061,,,,,,,,,,,,,,,,,
63871,0.275,-69.343,3.41,3.415,-7.075816327,,,,,,,,,,,,,,,,,
63872,0.3,-67.769,4.998,2.483,-6.915204082,,,,,,,,,,,,,,,,,
63873,0.325,-67.959,1.847,2.503,-6.934591837,,,,,,,,,,,,,,,,,
63874,0.35,-63.341,-0.07,4.314,-6.463367347,,,,,,,,,,,,,,,,,
63875,0.375,-67.896,1.766,-1.127,-6.928163265,,,,,,,,,,,,,,,,,
63876,0.4,-67.409,-0.082,-1.135,-6.878469388,,,,,,,,,,,,,,,,,
63877,0.425,-69.159,2.107,0.45,-7.057040816,,,,,,,,,,,,,,,,,
63878,0.45,-70.689,-0.493,0.213,-7.213163265,,,,,,,,,,,,,,,,,
63879,0.475,-71.364,1.712,1.349,-7.282040816,,,,,,,,,,,,,,,,,
63880,0.5,-72.36,0.206,-0.299,-7.383673469,,,,,,,,,,,,,,,,,
63881,0.525,-72.561,-0.673,-2.14,-7.404183673,,,,,,,,,,,,,,,,,
63882,0.55,-73.57,-0.209,0.629,-7.507142857,,,,,,,,,,,,,,,,,
63883,0.575,-73.792,-0.539,-0.914,-7.529795918,,,,,,,,,,,,,,,,,
63884,0.6,-75.599,-0.235,-1.353,-7.714183673,,,,,,,,,,,,,,,,,
63885,0.625,-75.672,-0.059,-0.248,-7.721632653,,,,,,,,,,,,,,,,,
63886,0.65,-75.556,-0.528,-1.169,-7.709795918,,,,,,,,,,,,,,,,,
63887,0.675,-76.735,-0.054,-1.113,-7.830102041,,,,,,,,,,,,,,,,,
63888,0.7,-78.11,0.123,-0.533,-7.970408163,,,,,,,,,,,,,,,,,
63889,0.725,-78.073,-0.162,-0.902,-7.966632653,,,,,,,,,,,,,,,,,
63890,0.75,-78.619,-0.443,-1.162,-8.022346939,,,,,,,,,,,,,,,,,
63891,0.775,-79.089,-0.415,-0.912,-8.070306122,,,,,,,,,,,,,,,,,
63892,0.8,-79.541,-0.459,-0.981,-8.116428571,,,,,,,,,,,,,,,,,
63893,0.825,-78.978,-0.257,-1.468,-8.058979592,,,,,,,,,,,,,,,,,
63894,0.85,-79.926,-0.303,-1.008,-8.155714286,,,,,,,,,,,,,,,,,
63895,0.875,-81.172,-0.581,-0.897,-8.282857143,,,,,,,,,,,,,,,,,
63896,0.9,-81.394,-0.556,-1.233,-8.305510204,,,,,,,,,,,,,,,,,
63897,0.925,-82.28,-0.638,-0.843,-8.395918367,,,,,,,,,,,,,,,,,
63898,0.95,-82.277,-0.447,-0.995,-8.395612245,,,,,,,,,,,,,,,,,
63899,0.975,-82.962,-0.531,-0.975,-8.465510204,,,,,,,,,,,,,,,,,
63900,1,-83.995,-0.919,-1,-8.570918367,,,,,,,,,,,,,,,,,
63901,1.025,-83.933,-1.604,-1.159,-8.564591837,,,,,,,,,,,,,,,,,
63902,1.05,-85.084,-0.997,-1.115,-8.682040816,,,,,,,,,,,,,,,,,
63903,1.075,-84.673,-0.704,-1.265,-8.640102041,,,,,,,,,,,,,,,,,
63904,1.1,-84.964,-0.848,-1.2,-8.669795918,,,,,,,,,,,,,,,,,
63905,1.125,-85.147,-0.883,-1.14,-8.688469388,,,,,,,,,,,,,,,,,
63906,1.15,-85.705,-0.675,-1.444,-8.745408163,,,,,,,,,,,,,,,,,
